AAPL R735QTJ8XC9X,AAPL,1,20200930,3331,9707264545,1120089899927,325799391,312302433,649898,6181202491,641098575,1
AIG R735QTJ8XC9X,AIG,1,20200930,643,765648880,21051736065,10563968,18398838,0,493827192,72508312,1
BNO UN3IMQ2JU1YD,BNO,1,20200930,39,8288042,87717888,230500,232700,0,4546672,8048,0
EEM SNQLASP67O85,EEM,1,20200930,1125,419827043,18480186971,175912396,282685743,961076,313169437,32950877,1
GOOCV VP83T1ZUHROL,GOOG,1,20200930,2578,215790908,316482429561,9583404,5812989,1434,140825792,12191671,1
GOOG T1AZ164W5VTX,GOOGL,1,20200930,2804,236122427,333625703815,7831689,7609218,11926,157771985,18783016,1
IBM R735QTJ8XC9X,IBM,1,20200930,1929,496959656,60258042278,10596173,12966876,46773,301658077,40758566,1
IWM RV0PWMLXVHPH,IWM,1,20200930,1502,286727605,42735311558,142418590,306030479,155421,184295188,29591001,1
NB R735QTJ8XC9X,BAC,1,20200930,2028,5884109393,141323066312,124842175,157712018,1388986,4059209734,485120593,1
QQQ RIWIV7K5Z9LX,QQQ,1,20200930,1703,228743065,63384618415,178815074,312522269,104443,104383506,32345398,1
SPY R735QTJ8XC9X,SPY,1,20200930,2448,565505691,197137305599,391915330,568101920,543662,366141374,41754254,1
USO THORT68ZZSYT,USO,1,20200930,186,36121055,1020133410,23671038,39827196,69466,32436364,717495,1
UW R735QTJ8XC9X,WM,1,20200930,1320,301878152,34072813914,1703745,1793995,67896,204070459,18262914,1
