AAPL R735QTJ8XC9X,AAPL,20200930,3366,9730059060,1122735537927,325799391,312312833,649898,6200836007,641098575,1
AIG R735QTJ8XC9X,AIG,20200930,651,766586617,21077559065,10563968,18398838,0,494764929,72508312,1
BNO UN3IMQ2JU1YD,BNO,20200930,39,8288042,87717888,230500,232700,0,4546672,8048,0
EEM SNQLASP67O85,EEM,20200930,1139,420970464,18530611971,175912396,282685743,961076,314206321,32950877,1
GOOCV VP83T1ZUHROL,GOOG,20200930,2589,216103852,316944601561,9583404,5812989,1434,141140123,12183425,1
GOOG T1AZ164W5VTX,GOOGL,20200930,2813,236542982,334242590815,7831689,7609218,11926,158171079,18783016,1
IBM R735QTJ8XC9X,IBM,20200930,1949,497895413,60371939278,10596173,12966876,46773,302447358,40758566,1
IWM RV0PWMLXVHPH,IWM,20200930,1515,287496788,42850528558,142418590,306030479,155421,184991411,29591795,1
NB R735QTJ8XC9X,BAC,20200930,2048,5894664798,141577851541,124842175,157712018,1388986,4069423807,485120593,1
QQQ RIWIV7K5Z9LX,QQQ,20200930,1700,228749852,63387073608,178815074,312562269,104442,104556394,32345398,1
SPY R735QTJ8XC9X,SPY,20200930,2473,566863901,197592415599,391937430,568142820,543662,367053097,41754440,1
USO THORT68ZZSYT,USO,20200930,179,36098144,1019485278,23662538,39827196,69466,32436299,717495,1
UW R735QTJ8XC9X,WM,20200930,1336,302306665,34121333914,1703745,1793995,67896,204474617,18262914,1
